sample,Mean_Susc_976,Mean_Susc_15616,Std_Susc_976,Std_Susc_15616,Phase,X_fd,X_fv,X_on
TG01.2A,2.992133333333333e-09,2.098033333333333e-09,4.562163229580191e-12,2.2413017051109897e-11,0.1914044413020448,29.88168976427076,8.941e-10,12.336202723887414
TG01.1A,2.59695e-09,1.7825333333333331e-09,2.35035954696297e-11,3.6910955916457396e-11,0.2052507200345331,31.3605062348781,8.144166666666668e-10,13.253302553105938
TG01.4A,-4.2239e-10,-8.093733333333334e-10,2.0019048428933862e-11,5.665316966713629e-11,2.5953627753573016,91.6175414506341,3.869833333333334e-10,-38.702016177845486
TG01.3B,-4.8764e-10,-1.282393333333333e-09,6.932106461963761e-12,7.895240835676472e-10,2.669899969945805,162.97952041123233,7.947533333333333e-10,-32.473794897354814
TG01.3A,1.8894999999999998e-10,-3.258133333333333e-10,6.628894327110662e-12,2.6073779677420487e-11,1.0230829186982096,272.4336244156302,5.147633333333333e-10,104.37014305983756
TG01.6B,9.4879e-10,2.666266666666667e-10,8.769187533631561e-12,4.142499134982811e-10,0.4053701720682029,71.89824232267766,6.821633333333332e-10,27.319760682671703
TG01.6A,2.137766666666666e-09,1.5366333333333332e-09,3.7700176834245104e-11,1.1861594889951902e-10,0.204785298900668,28.119688771771152,6.011333333333331e-10,13.222391770863164
TG01.5B,1.16128e-09,5.7931e-10,1.3441986460341322e-11,1.6308512255874235e-10,0.348088466017749,50.11452879581151,5.819699999999998e-10,23.10062473502581
TG01.5A,2.03295e-09,1.3838e-09,1.962444903685192e-11,5.572913062304136e-11,0.2135119451606396,31.931429695762315,6.4915e-10,13.802979922769168
TG01.7A,-1.63675e-09,-1.72735e-09,7.606247432209938e-12,4.023107008271092e-11,3.1069478679377056,5.535359706735914,9.060000000000008e-11,-2.2064383936451564
TG01.10A,-1.6605666666666667e-09,-1.7888999999999999e-09,6.14030400984624e-12,1.705373859304762e-11,3.0938288097268813,7.728285525021571,1.283333333333332e-10,-3.043055219399455
TG01.9A,-1.5918e-09,-1.681583333333333e-09,3.2207576748336646e-11,4.524579170118108e-11,3.105755226282177,5.640365205008994,8.978333333333315e-11,-2.282458701852127
TG01.10B,-1.9832666666666662e-09,-2.077066666666667e-09,1.1060440015357318e-12,1.5161775401757324e-10,3.1323424085542237,4.7295707418736885,9.380000000000023e-11,-0.5889056859555045
TG01.11A,-2.03365e-09,-1.93565e-09,7.549503294919521e-12,4.481833330234393e-11,-2.082090531166636,-4.81892164335062,-9.799999999999988e-11,113.46750974276992
TG01.14A,-1.705175e-09,-1.7857833333333335e-09,2.61893585259356e-11,2.9789623473059665e-11,3.110089460591295,4.727276281515596,8.060833333333354e-11,-2.0062192910321146
TG01.13B,-1.38366e-09,-1.4347333333333334e-09,1.1968834529727636e-11,5.984557906256189e-11,3.103719008821516,3.691176541443231,5.107333333333341e-11,-2.4122646159716417
TG01.13A,-1.6682e-09,-1.7285833333333331e-09,2.636639275036812e-11,1.3851991433244022e-11,3.1058134039239094,3.619669903688601,6.038333333333323e-11,-2.278750245058559
TG01.18A,1.8967e-08,1.5047e-08,2.4758836806280903e-11,2.722131517763294e-11,0.1328195560767684,20.667475088311285,3.920000000000001e-09,8.505630517270003
TG01.15B,2.21808e-08,1.7918000000000002e-08,1.1388590782006442e-11,7.00856618717413e-11,0.1439547567044923,19.218423140734323,4.262799999999999e-09,9.22827847080855
TG01.16A,2.8944666666666663e-08,2.3898333333333336e-08,1.892969448600129e-11,1.3652960606891522e-10,0.1185660338521481,17.434415090863016,5.04633333333333e-09,7.583718561379659
TG01.17A,1.611875e-08,1.2855666666666668e-08,3.2938073208168664e-11,1.192755912442527e-11,0.1359175154990584,20.244022230838816,3.2630833333333315e-09,8.706457040030099
TG01.15A,2.722825e-08,2.23615e-08,4.806506007486086e-11,4.1350937111509746e-11,0.119424154067712,17.873899350858025,4.8667499999999996e-09,7.63912910217319
TG01.19A,1.015e-08,8.145616666666667e-09,2.554734167514629e-11,1.632108043809231e-11,0.1352193837982606,19.747619047619043,2.004383333333333e-09,8.661185644336776
TG01.21A,1.2196333333333331e-08,9.581666666666668e-09,1.2503332889007878e-11,4.2986780913826645e-11,0.1401499389351446,21.43813714504359,2.6146666666666663e-09,8.98110164850612
TG01.20A,1.316225e-08,1.0395333333333332e-08,1.575595125658861e-11,2.306223464165352e-11,0.1406299044794431,21.02160851424845,2.766916666666667e-09,9.012267436548331
TG01.23A,5.979833333333333e-09,4.6324999999999995e-09,5.727419430540971e-12,3.207943266331239e-11,0.1589413172149502,22.53128571030409,1.3473333333333339e-09,10.204594239186124
TG01.22A,4.701342857142857e-09,4.96845e-09,2.244557196016728e-09,3.6171577239595e-11,0.1960503415490201,-5.681507411256353,-2.6710714285714263e-10,12.64335452241635
TG01.22B,5.78052e-09,4.458566666666666e-09,4.3996590777013894e-12,7.226633610010465e-11,0.1780584902884615,22.86910750820572,1.321953333333333e-09,11.456891838525536
