sample,MgO,Al2O3,SiO2,S,Cl,K2O,V,Cr,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Rh,Pd,Cd,Sn,Sb,Ba,La,Ce,Hf,Ta,W,Hg,Tl,Pb,Bi,Th,U,section,Ti,Fe,Mn,Ca,P
TG01.10A,0.3559972526668453,0.7210091619675904,1.7920937638654832,0.0943666666666666,0.3331,0.10737102304237274,,0.0014186946186534697,,0.0010084190516895441,0.0052681358249712625,0.0006557278764741296,,0.0006,0.00045,0.0003022646952014487,0.1413661613563553,,0.005311176578537125,0.0005499999999999,,,,,0.0067,0.0036,,,0.0263,,,,,,0.002,,,,TG01,0.027419108586463584,0.12785321802668848,0.02915183549157468,38.297889978417615,0.017566026259307865
TG01.10B,0.5094633441866634,0.3163161592134106,0.7700357687737012,0.0403,0.1962,0.02502410118435767,,0.000913138129929389,,0.0010488709602656013,0.0013743115685332537,0.00038166242613014875,,,0.0005,4.0732186684604545e-05,0.15422190390098928,0.0003845361983121659,,,,,,,,,,,,,,0.0033,,,0.0022,,0.0012,,TG01,,0.06684984224445387,0.023049396799548424,37.89430508286884,0.014516583147843286
TG01.11A,0.9816378394232077,0.42439482256696837,1.4807759822477244,0.07535,0.2914,0.03259871948929992,,0.0010431383698870098,,0.0010657259221722852,0.001615521920702047,0.00018590139017016222,,,0.0004,0.00011205923446193865,0.06809545384786746,,,0.0005,,,,,0.0046,0.00375,0.007,,0.0206,,,,,,,,0.00145,,TG01,,0.11058117789557387,0.03925344517109376,39.22376727434576,0.015431416081282661
TG01.13A,0.3720741029539503,0.347957675459435,2.243057416111273,0.1167,0.4000666666666666,0.0471708423235697,,0.0015679541534196076,,0.0010151610364522135,0.002339152977208219,0.00039471316186076225,,,0.00045,0.00013583491705435958,0.12527892068574764,,,,,,,0.0013,0.0053,,,,0.0225,,,,,,0.0016,,,,TG01,,0.08569206784203348,0.03409895812054734,38.65057568037806,0.014376378866856396
TG01.13B,0.38991161368542454,0.104735907183393,0.6692881012259697,0.0378999999999999,0.2163333333333333,0.03573677564420459,,0.001389805676440665,,0.0010084190516895441,0.001339852946794899,0.0006296264050127461,,,0.00035,1.6956504092112336e-05,0.11920229920973217,,,,,,,,,,0.01215,,0.0256,,,,,,,,0.0012,,TG01,,0.09297505575031773,0.030988491796941735,38.48148450383885,0.012827121561951385
TG01.15B,1.081389355746791,2.292338798939958,8.44747499055706,0.0794,0.2144666666666666,0.31246283105142825,,0.0012742499075894466,,0.0011769686707564426,0.0015810632989635889,0.0009689455340101082,,,0.0004,0.0014672731422312865,0.10729493111511217,0.00042217017299571024,0.017350151179786763,,,,,,0.0063,,0.0121,,0.0205,,,,,,,,,,TG01,0.039056611290458135,0.6186865132033545,0.01887248487927804,34.22863520512572,0.013184642478467927
TG01.16A,0.6863952872027417,5.601285185936124,21.164588310633167,0.0660333333333333,0.0764333333333333,0.9357096391042721,,0.001534250387504688,,0.0010353869907402421,0.004923549607587406,0.0020652073353860326,0.0007999999999999,0.0008,0.0006,0.0041539252751774895,0.08344506994624187,0.0006605186793248116,0.04960769078122046,,,,,,,,0.0116,0.0216,,,,,,,,,,0.0013,TG01,0.12572074127550847,1.8782425229195718,0.02559701683602542,25.549308838618945,0.00458310983992295
TG01.18A,1.0256543505324278,0.9070373971045932,3.424144304883557,0.0920666666666666,0.1932666666666666,0.13413467438650198,,0.0012983240261001073,,0.001143258746943075,0.0010469546620186258,0.000420814633322146,,,0.00035,0.0005400215211259432,0.11572492622634757,0.0004974381223627988,0.00387110784633049,0.0005,,,,,0.00435,,0.0109,0.0192,0.0211,,,,,,,,0.0012,,TG01,0.021666479408920823,0.25904722498004873,0.01878361441288931,36.21968380887498,0.01480400192386637
TG01.18B,0.9497034998223941,0.8627074338406663,3.0085899115686217,0.04626,0.20464,0.1408941194833885,,0.0012020275520574352,,0.0010677485176011081,0.0011244865609300015,0.000420814633322146,,,0.0004333333333333,0.00034030578734940784,0.12240569735200164,0.0003845361983121659,0.004619943587078176,0.0006,,,,0.0017,0.00505,,0.0096,,0.027,,0.0054,,,,,,0.0012,,TG01,0.02578809494991894,0.18201459415930568,0.016621099730763544,37.220236167482874,0.015319953677898096
TG01.19A,0.843382699611297,0.7701629639346846,2.751509352637687,0.0842333333333333,0.2474333333333333,0.11025659192044594,,0.001389805676440665,,0.001055612945028291,0.0013570822576641282,0.0006165756692820543,,,0.0003,0.0002309376474241146,0.09868931110572597,0.0005350720970463432,0.003410285852024408,,,,,,,,0.008,,,,,,,,,,,,TG01,0.019021592430740242,0.1667069562713429,0.03386197021017744,37.82185707470936,0.0155891458973929
TG01.1A,0.5451672289355851,0.5471997261859715,1.209545816488486,0.1110666666666666,0.4112666666666666,0.13525283232675533,,0.0014042501475470671,,0.0010286450059775727,0.0015466046772252343,0.0006296264050127461,,,0.0006,0.00013583491705435958,0.19682850419235828,,,0.0007,,,,,,,,,,,,,,,,,0.0015,,TG01,,0.1135545078214331,0.02097575258381138,38.18688093365712,0.017923547175824422
